userid,attractionid,attraction,attractiontype,rating
47878,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
76383,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
69047,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
4704,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
60786,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
11567,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
9721,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
81917,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
74047,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
35064,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
16210,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
34475,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
35014,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
32271,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
51045,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
61162,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,2
82738,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
48073,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
31427,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
30811,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
66675,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
44748,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
18295,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
37703,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
3850,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
61329,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
18016,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
742,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
71542,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
57489,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
22601,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
87646,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
57409,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
75883,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
35029,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
60491,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
22981,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
34788,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
8357,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
25551,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
46084,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
81818,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
10917,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
9849,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
30762,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
33532,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
20406,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
67711,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
54951,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
1258,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
80378,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
16901,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
27887,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
26893,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
6137,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
52293,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
68257,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
43688,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
37159,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
13815,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
15747,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
83027,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
61967,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
43397,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
62162,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
46106,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
67109,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
52528,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
22907,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
37425,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
41203,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
20065,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
73245,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
73646,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
84875,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
23629,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
30759,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
1684,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
68604,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
58348,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
54465,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
75591,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
61160,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
19406,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
69671,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
88159,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
46158,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
65716,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
26929,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
19138,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
54930,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
22292,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
61847,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
39638,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
75270,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
81565,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
1286,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
21885,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
59594,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
54832,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
62637,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
66466,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
12514,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
26721,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
57888,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
59214,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
16818,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
35966,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
43752,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
25167,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
17509,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
12493,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
50006,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
59886,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
88096,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
86495,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
71335,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
43469,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
62902,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
842,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
79806,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
79106,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
40004,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
38965,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
57241,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
83593,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
51833,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
45575,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
83403,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
21800,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
40371,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
33602,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
80509,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
21032,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
43991,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
20101,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
21002,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
66976,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
28784,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
42092,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
47891,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
53973,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
75059,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
20317,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
76909,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
86520,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
69256,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
43343,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
36630,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
46043,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
85645,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
6578,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
59262,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
2322,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
59472,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
22780,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
86490,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
33842,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
38379,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
48560,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
77923,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,1
38836,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
38110,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
15549,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
36219,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
14472,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
28964,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
23832,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
38620,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
39924,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
58141,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
77358,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
54424,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
27001,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
20211,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
2449,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
56064,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
18783,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
46208,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
41136,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
70751,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
86510,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
