Feature,Importance
cat__user_cityid_103.0,0.0
cat__user_cityid_104.0,0.0
cat__user_cityid_105.0,0.0
cat__user_cityid_106.0,0.0
cat__user_cityid_107.0,0.0
cat__user_cityid_109.0,0.0
cat__user_cityid_110.0,0.0
cat__user_cityid_111.0,0.0
cat__user_cityid_112.0,0.0
cat__user_cityid_114.0,0.0
cat__user_cityid_116.0,0.0
cat__user_cityid_117.0,0.0
cat__user_cityid_119.0,0.0
cat__user_cityid_120.0,0.0
cat__user_cityid_122.0,0.0
cat__user_cityid_123.0,0.0
cat__user_cityid_125.0,0.0
cat__user_cityid_128.0,0.0
cat__user_cityid_131.0,0.0
cat__user_cityid_133.0,0.0
cat__user_cityid_135.0,0.0
cat__user_cityid_136.0,0.0
cat__user_cityid_137.0,0.0
cat__user_cityid_139.0,0.0
cat__user_cityid_140.0,0.0
cat__user_cityid_141.0,0.0
cat__user_cityid_142.0,0.0
cat__user_cityid_143.0,0.0
cat__user_cityid_145.0,0.0
cat__user_cityid_147.0,0.0
cat__user_cityid_150.0,0.0
cat__user_cityid_153.0,0.0
cat__user_cityid_154.0,0.0
cat__user_cityid_157.0,0.0
cat__user_cityid_160.0,0.0
cat__user_cityid_161.0,0.0
cat__user_cityid_162.0,0.0
cat__user_cityid_164.0,0.0
cat__user_cityid_167.0,0.0
cat__user_cityid_169.0,0.0
cat__user_cityid_170.0,0.0
cat__user_cityid_171.0,0.0
cat__user_cityid_172.0,0.0
cat__user_cityid_173.0,0.0
cat__user_cityid_174.0,0.0
cat__user_cityid_175.0,0.0
cat__user_cityid_177.0,0.0
cat__user_cityid_178.0,0.0
cat__user_cityid_180.0,0.0
cat__user_cityid_182.0,0.0
cat__user_cityid_187.0,0.0
cat__user_cityid_188.0,0.0
cat__user_cityid_189.0,0.0
cat__user_cityid_190.0,0.0
cat__user_cityid_191.0,0.0
cat__user_cityid_194.0,0.0
cat__user_cityid_195.0,0.0
cat__user_cityid_197.0,0.0
cat__user_cityid_198.0,0.0
cat__user_cityid_202.0,0.0
cat__user_cityid_203.0,0.0
cat__user_cityid_205.0,0.0
cat__user_cityid_206.0,0.0
cat__user_cityid_207.0,0.0
cat__user_cityid_208.0,0.0
cat__user_cityid_209.0,0.0
cat__user_cityid_210.0,0.0
cat__user_cityid_212.0,0.0
cat__user_cityid_213.0,0.0
cat__user_cityid_214.0,0.0
cat__user_cityid_216.0,0.0
cat__user_cityid_217.0,0.0
cat__user_cityid_218.0,0.0
cat__user_cityid_220.0,0.0
cat__user_cityid_221.0,0.0
cat__user_cityid_223.0,0.0
cat__user_cityid_224.0,0.0
cat__user_cityid_226.0,0.0
cat__user_cityid_227.0,0.0
cat__user_cityid_228.0,0.0
cat__user_cityid_229.0,0.0
cat__user_cityid_231.0,0.0
cat__user_cityid_232.0,0.0
cat__user_cityid_233.0,0.0
cat__user_cityid_234.0,0.0
cat__user_cityid_236.0,0.0
cat__user_cityid_237.0,0.0
cat__user_cityid_238.0,0.0
cat__user_cityid_239.0,0.0
cat__user_cityid_242.0,0.0
cat__user_cityid_243.0,0.0
cat__user_cityid_244.0,0.0
cat__user_cityid_245.0,0.0
cat__user_cityid_246.0,0.0
cat__user_cityid_248.0,0.0
cat__user_cityid_250.0,0.0
cat__user_cityid_251.0,0.0
cat__user_cityid_253.0,0.0
cat__user_cityid_254.0,0.0
cat__user_cityid_256.0,0.0
cat__user_cityid_257.0,0.0
cat__user_cityid_260.0,0.0
cat__user_cityid_262.0,0.0
cat__user_cityid_263.0,0.0
cat__user_cityid_265.0,0.0
cat__user_cityid_266.0,0.0
cat__user_cityid_267.0,0.0
cat__user_cityid_268.0,0.0
cat__user_cityid_269.0,0.0
cat__user_cityid_270.0,0.0
cat__user_cityid_272.0,0.0
cat__user_cityid_274.0,0.0
cat__user_cityid_276.0,0.0
cat__user_cityid_277.0,0.0
cat__user_cityid_278.0,0.0
cat__user_cityid_279.0,0.0
cat__user_cityid_280.0,0.0
cat__user_cityid_282.0,0.0
cat__user_cityid_283.0,0.0
cat__user_cityid_285.0,0.0
cat__user_cityid_287.0,0.0
cat__user_cityid_288.0,0.0
cat__user_cityid_290.0,0.0
cat__user_cityid_291.0,0.0
cat__user_cityid_292.0,0.0
cat__user_cityid_293.0,0.0
cat__user_cityid_296.0,0.0
cat__user_cityid_299.0,0.0
cat__user_cityid_302.0,0.0
cat__user_cityid_305.0,0.0
cat__user_cityid_306.0,0.0
cat__user_cityid_308.0,0.0
cat__user_cityid_312.0,0.0
cat__user_cityid_313.0,0.0
cat__user_cityid_314.0,0.0
cat__user_cityid_315.0,0.0
cat__user_cityid_316.0,0.0
cat__user_cityid_319.0,0.0
cat__user_cityid_321.0,0.0
cat__user_cityid_322.0,0.0
cat__user_cityid_323.0,0.0
cat__user_cityid_324.0,0.0
cat__user_cityid_325.0,0.0
cat__user_cityid_326.0,0.0
cat__user_cityid_327.0,0.0
cat__user_cityid_328.0,0.0
cat__user_cityid_329.0,0.0
cat__user_cityid_330.0,0.0
cat__user_cityid_331.0,0.0
cat__user_cityid_332.0,0.0
cat__user_cityid_333.0,0.0
cat__user_cityid_334.0,0.0
cat__user_cityid_335.0,0.0
cat__user_cityid_336.0,0.0
cat__user_cityid_337.0,0.0
cat__user_cityid_338.0,0.0
cat__user_cityid_339.0,0.0
cat__user_cityid_341.0,0.0
cat__user_cityid_346.0,0.0
cat__user_cityid_349.0,0.0
cat__user_cityid_350.0,0.0
cat__user_cityid_351.0,0.0
